Timestamp,IT_Thermal_Load_kWth,UPS_Thermal_Load_kWth,Power_Distribution_Thermal_Load_kWth,Lighting_Thermal_Load_kWth,People_Thermal_Load_kWth,Total_Thermal_Load_kWth
2026-08-09 07:45:00,352.2,41.6,13.0,5.73,0.6,413.1
2026-08-09 08:00:00,356.0,41.8,13.1,5.73,0.6,417.2
2026-08-09 08:15:00,359.7,42.0,13.2,5.73,0.6,421.2
2026-08-09 08:30:00,360.7,42.0,13.2,5.73,0.6,422.2
2026-08-09 08:45:00,366.1,42.3,13.3,5.73,0.6,428.0
2026-08-09 09:00:00,368.0,42.4,13.4,5.73,0.6,430.1
2026-08-09 09:15:00,369.5,42.5,13.4,5.73,0.6,431.7
2026-08-09 09:30:00,375.6,42.8,13.5,5.73,0.6,438.2
2026-08-09 09:45:00,371.6,42.6,13.4,5.73,0.6,433.9
2026-08-09 10:00:00,381.29999999999995,43.1,13.6,5.73,0.6,444.3
2026-08-09 10:15:00,384.4,43.2,13.7,5.73,0.6,447.6
2026-08-09 10:30:00,383.5,43.2,13.7,5.73,0.6,446.7
2026-08-09 10:45:00,393.5,43.7,13.9,5.73,0.6,457.4
2026-08-09 11:00:00,389.5,43.5,13.8,5.73,0.6,453.1
2026-08-09 11:15:00,386.6,43.3,13.7,5.73,0.6,449.9
2026-08-09 11:30:00,397.0,43.9,13.9,5.73,0.6,461.1
2026-08-09 11:45:00,395.4,43.8,13.9,5.73,0.6,459.4
2026-08-09 12:00:00,395.7,43.8,13.9,5.73,0.6,459.7
2026-08-09 12:15:00,400.4,44.0,14.0,5.73,0.6,464.7
2026-08-09 12:30:00,408.1,44.4,14.2,5.73,0.6,473.0
2026-08-09 12:45:00,408.79999999999995,44.4,14.2,5.73,0.6,473.7
2026-08-09 13:00:00,412.4,44.6,14.2,5.73,0.6,477.5
2026-08-09 13:15:00,403.9,44.2,14.1,5.73,0.6,468.5
2026-08-09 13:30:00,411.9,44.6,14.2,5.73,0.6,477.0
2026-08-09 13:45:00,408.7,44.4,14.2,5.73,0.6,473.6
2026-08-09 14:00:00,413.1,44.7,14.3,5.73,0.6,478.4
2026-08-09 14:15:00,404.0,44.2,14.1,5.73,0.6,468.6
2026-08-09 14:30:00,408.5,44.4,14.2,5.73,0.6,473.4
2026-08-09 14:45:00,414.5,44.7,14.3,5.73,0.6,479.8
2026-08-09 15:00:00,413.2,44.7,14.3,5.73,0.6,478.5
2026-08-09 15:15:00,411.20000000000005,44.6,14.2,5.73,0.6,476.3
2026-08-09 15:30:00,411.6,44.6,14.2,5.73,0.6,476.7
2026-08-09 15:45:00,414.7,44.7,14.3,5.73,0.6,480.0
2026-08-09 16:00:00,410.4,44.5,14.2,5.73,0.6,475.4
2026-08-09 16:15:00,415.6,44.8,14.3,5.73,0.6,481.0
2026-08-09 16:30:00,414.20000000000005,44.7,14.3,5.73,0.6,479.5
2026-08-09 16:45:00,406.29999999999995,44.3,14.1,5.73,0.6,471.0
2026-08-09 17:00:00,407.9,44.4,14.2,5.73,0.6,472.8
2026-08-09 17:15:00,406.6,44.3,14.1,5.73,0.6,471.3
2026-08-09 17:30:00,403.8,44.2,14.1,5.73,0.6,468.4
2026-08-09 17:45:00,398.70000000000005,43.9,14.0,5.73,0.6,462.9
2026-08-09 18:00:00,395.8,43.8,13.9,5.73,0.6,459.8
2026-08-09 18:15:00,391.79999999999995,43.6,13.8,5.73,0.6,455.5
2026-08-09 18:30:00,396.70000000000005,43.8,13.9,5.73,0.6,460.7
2026-08-09 18:45:00,397.79999999999995,43.9,14.0,5.73,0.6,462.0
2026-08-09 19:00:00,384.79999999999995,43.2,13.7,5.73,0.6,448.0
2026-08-09 19:15:00,387.4,43.4,13.7,5.73,0.6,450.8
2026-08-09 19:30:00,378.0,42.9,13.6,5.73,0.6,440.8
2026-08-09 19:45:00,378.6,42.9,13.6,5.73,0.6,441.4
2026-08-09 20:00:00,385.3,43.3,13.7,5.73,0.6,448.6
2026-08-09 20:15:00,372.0,42.6,13.4,5.73,0.6,434.3
2026-08-09 20:30:00,376.4,42.8,13.5,5.73,0.6,439.0
2026-08-09 20:45:00,375.1,42.8,13.5,5.73,0.6,437.7
2026-08-09 21:00:00,371.3,42.6,13.4,5.73,0.6,433.6
2026-08-09 21:15:00,362.70000000000005,42.1,13.3,5.73,0.6,424.4
2026-08-09 21:30:00,361.70000000000005,42.1,13.2,5.73,0.6,423.3
2026-08-09 21:45:00,361.0,42.0,13.2,5.73,0.6,422.5
2026-08-09 22:00:00,358.29999999999995,41.9,13.2,5.73,0.6,419.7
2026-08-09 22:15:00,355.70000000000005,41.8,13.1,5.73,0.6,416.9
2026-08-09 22:30:00,346.8,41.3,12.9,5.73,0.6,407.3
2026-08-09 22:45:00,343.4,41.2,12.9,5.73,0.6,403.8
2026-08-09 23:00:00,351.7,41.6,13.0,5.73,0.6,412.6
2026-08-09 23:15:00,347.9,41.4,13.0,5.73,0.6,408.6
2026-08-09 23:30:00,340.0,41.0,12.8,5.73,0.6,400.1
2026-08-09 23:45:00,339.8,41.0,12.8,5.73,0.6,399.9
2026-08-10 00:00:00,361.3,42.1,13.2,5.73,0.6,422.9
2026-08-10 00:15:00,365.6,42.3,13.3,5.73,0.6,427.5
2026-08-10 00:30:00,361.3,42.1,13.2,5.73,0.6,422.9
2026-08-10 00:45:00,362.0,42.1,13.2,5.73,0.6,423.6
2026-08-10 01:00:00,357.70000000000005,41.9,13.2,5.73,0.6,419.1
2026-08-10 01:15:00,360.9,42.0,13.2,5.73,0.6,422.4
2026-08-10 01:30:00,350.9,41.5,13.0,5.73,0.6,411.7
2026-08-10 01:45:00,352.9,41.6,13.1,5.73,0.6,413.9
2026-08-10 02:00:00,349.7,41.5,13.0,5.73,0.6,410.5
2026-08-10 02:15:00,357.5,41.9,13.2,5.73,0.6,418.9
2026-08-10 02:30:00,347.79999999999995,41.4,13.0,5.73,0.6,408.5
2026-08-10 02:45:00,350.9,41.5,13.0,5.73,0.6,411.7
2026-08-10 03:00:00,353.79999999999995,41.7,13.1,5.73,0.6,414.9
2026-08-10 03:15:00,351.8,41.6,13.0,5.73,0.6,412.7
2026-08-10 03:30:00,354.8,41.7,13.1,5.73,0.6,415.9
2026-08-10 03:45:00,350.70000000000005,41.5,13.0,5.73,0.6,411.5
2026-08-10 04:00:00,353.8,41.7,13.1,5.73,0.6,414.9
2026-08-10 04:15:00,352.3,41.6,13.0,5.73,0.6,413.2
2026-08-10 04:30:00,351.9,41.6,13.0,5.73,0.6,412.8
2026-08-10 04:45:00,352.4,41.6,13.0,5.73,0.6,413.3
2026-08-10 05:00:00,362.5,42.1,13.2,5.73,0.6,424.1
2026-08-10 05:15:00,361.5,42.1,13.2,5.73,0.6,423.1
2026-08-10 05:30:00,363.3,42.2,13.3,5.73,0.6,425.1
2026-08-10 05:45:00,361.1,42.1,13.2,5.73,0.6,422.7
2026-08-10 06:00:00,362.9,42.1,13.3,5.73,0.6,424.6
2026-08-10 06:15:00,361.9,42.1,13.2,5.73,0.6,423.5
2026-08-10 06:30:00,371.9,42.6,13.4,5.73,0.6,434.2
2026-08-10 06:45:00,373.0,42.7,13.5,5.73,0.6,435.5
2026-08-10 07:00:00,372.5,42.6,13.4,5.73,0.6,434.8
2026-08-10 07:15:00,378.79999999999995,42.9,13.6,5.73,0.6,441.6
2026-08-10 07:30:00,378.5,42.9,13.6,5.73,0.6,441.3
2026-08-10 07:45:00,389.7,43.5,13.8,5.73,0.6,453.3
2026-08-10 08:00:00,383.70000000000005,43.2,13.7,5.73,0.6,446.9
2026-08-10 08:15:00,395.6,43.8,13.9,5.73,0.6,459.6
2026-08-10 08:30:00,389.4,43.5,13.8,5.73,0.6,453.0
2026-08-10 08:45:00,396.4,43.8,13.9,5.73,0.6,460.4
2026-08-10 09:00:00,396.1,43.8,13.9,5.73,0.6,460.1
2026-08-10 09:15:00,403.1,44.2,14.1,5.73,0.6,467.7
2026-08-10 09:30:00,407.79999999999995,44.4,14.2,5.73,0.6,472.7
2026-08-10 09:45:00,410.1,44.5,14.2,5.73,0.6,475.1
2026-08-10 10:00:00,411.6,44.6,14.2,5.73,0.6,476.7
2026-08-10 10:15:00,411.29999999999995,44.6,14.2,5.73,0.6,476.4
2026-08-10 10:30:00,420.1,45.0,14.4,5.73,0.6,485.8
2026-08-10 10:45:00,425.3,45.3,14.5,5.73,0.6,491.4
2026-08-10 11:00:00,427.5,45.4,14.6,5.73,0.6,493.8
2026-08-10 11:15:00,427.1,45.4,14.5,5.73,0.6,493.3
2026-08-10 11:30:00,434.4,45.7,14.7,5.73,0.6,501.1
2026-08-10 11:45:00,427.29999999999995,45.4,14.5,5.73,0.6,493.5
2026-08-10 12:00:00,432.3,45.6,14.6,5.73,0.6,498.8
2026-08-10 12:15:00,431.8,45.6,14.6,5.73,0.6,498.3
2026-08-10 12:30:00,437.7,45.9,14.8,5.73,0.6,504.7
2026-08-10 12:45:00,441.79999999999995,46.1,14.8,5.73,0.6,509.0
2026-08-10 13:00:00,445.70000000000005,46.3,14.9,5.73,0.6,513.2
2026-08-10 13:15:00,440.2,46.0,14.8,5.73,0.6,507.3
2026-08-10 13:30:00,444.0,46.2,14.9,5.73,0.6,511.4
2026-08-10 13:45:00,447.9,46.4,15.0,5.73,0.6,515.6
2026-08-10 14:00:00,444.7,46.2,14.9,5.73,0.6,512.1
2026-08-10 14:15:00,451.9,46.6,15.0,5.73,0.6,519.8
2026-08-10 14:30:00,450.8,46.5,15.0,5.73,0.6,518.6
2026-08-10 14:45:00,449.8,46.5,15.0,5.73,0.6,517.6
2026-08-10 15:00:00,446.79999999999995,46.3,14.9,5.73,0.6,514.3
2026-08-10 15:15:00,448.8,46.4,15.0,5.73,0.6,516.5
2026-08-10 15:30:00,444.4,46.2,14.9,5.73,0.6,511.8
2026-08-10 15:45:00,451.3,46.6,15.0,5.73,0.6,519.2
2026-08-10 16:00:00,441.8,46.1,14.8,5.73,0.6,509.0
2026-08-10 16:15:00,451.5,46.6,15.0,5.73,0.6,519.4
2026-08-10 16:30:00,445.6,46.3,14.9,5.73,0.6,513.1
2026-08-10 16:45:00,438.5,45.9,14.8,5.73,0.6,505.5
2026-08-10 17:00:00,440.20000000000005,46.0,14.8,5.73,0.6,507.3
2026-08-10 17:15:00,439.9,46.0,14.8,5.73,0.6,507.0
2026-08-10 17:30:00,433.8,45.7,14.7,5.73,0.6,500.5
2026-08-10 17:45:00,435.6,45.8,14.7,5.73,0.6,502.4
2026-08-10 18:00:00,430.7,45.5,14.6,5.73,0.6,497.1
2026-08-10 18:15:00,424.29999999999995,45.2,14.5,5.73,0.6,490.3
2026-08-10 18:30:00,422.9,45.1,14.5,5.73,0.6,488.8
2026-08-10 18:45:00,430.4,45.5,14.6,5.73,0.6,496.8
2026-08-10 19:00:00,421.7,45.1,14.4,5.73,0.6,487.5
2026-08-10 19:15:00,426.29999999999995,45.3,14.5,5.73,0.6,492.4
2026-08-10 19:30:00,423.2,45.2,14.5,5.73,0.6,489.2
2026-08-10 19:45:00,411.29999999999995,44.6,14.2,5.73,0.6,476.4
2026-08-10 20:00:00,411.9,44.6,14.2,5.73,0.6,477.0
2026-08-10 20:15:00,413.5,44.7,14.3,5.73,0.6,478.8
2026-08-10 20:30:00,409.8,44.5,14.2,5.73,0.6,474.8
2026-08-10 20:45:00,398.70000000000005,43.9,14.0,5.73,0.6,462.9
2026-08-10 21:00:00,395.4,43.8,13.9,5.73,0.6,459.4
2026-08-10 21:15:00,402.0,44.1,14.0,5.73,0.6,466.4
2026-08-10 21:30:00,391.2,43.6,13.8,5.73,0.6,454.9
2026-08-10 21:45:00,387.3,43.4,13.7,5.73,0.6,450.7
2026-08-10 22:00:00,389.4,43.5,13.8,5.73,0.6,453.0
2026-08-10 22:15:00,384.29999999999995,43.2,13.7,5.73,0.6,447.5
2026-08-10 22:30:00,376.9,42.8,13.5,5.73,0.6,439.5
2026-08-10 22:45:00,379.0,43.0,13.6,5.73,0.6,441.9
2026-08-10 23:00:00,381.9,43.1,13.6,5.73,0.6,444.9
2026-08-10 23:15:00,369.0,42.5,13.4,5.73,0.6,431.2
2026-08-10 23:30:00,368.4,42.4,13.4,5.73,0.6,430.5
2026-08-10 23:45:00,368.8,42.4,13.4,5.73,0.6,430.9
